Team,Wins,Losses,Season,Pitches,Zone%,Zone Swing,Zone Contact,Chase%,Chase Contact,Edge,1st Pitch Swing,Swing%,Whiff%,Meatball,Meatball Swing
New York Mets,77,85,2021,"22,385",48.1,71.2,81.1,29.7,55.3,42.6,34.5,49.7,26.9,7.1,81.5
Cleveland Guardians,80,82,2021,"23,079",48.6,67.8,81.3,28.8,56.8,42.1,27.8,47.7,26.3,7.5,75.9
Miami Marlins,67,95,2021,"23,267",48.5,67,80.8,31.2,54,42.3,28.7,48.6,28.1,7.4,74.4
Texas Rangers,60,102,2021,"22,926",49.1,67.9,81.1,29,58.3,42.5,28.8,48.1,25.9,7.5,74.9
Chicago Cubs,71,91,2021,"23,541",48.4,66.8,80.3,28.2,52,42.3,30.1,46.9,28.5,7.3,75.9
Detroit Tigers,77,85,2021,"23,733",48.6,68.5,79.9,29.3,55.1,42.6,30,48.4,27.8,7.1,77.7
Pittsburgh Pirates,61,101,2021,"22,993",48.9,67.9,84,26.7,55.2,42.2,31.5,46.8,24.5,7.5,77.9
Baltimore Orioles,52,110,2021,"23,609",48.8,67.9,80.6,30.2,55.7,42.8,30.1,48.6,27.3,7.2,77.9
Kansas City Royals,74,88,2021,"22,754",48,71.6,82.8,30.7,56.4,42,34.4,50.3,25.6,7.4,80.2
St. Louis Cardinals,90,72,2021,"23,222",49,67.4,81.7,28,58.1,41.8,27.9,47.3,25.4,7.5,74.7
Colorado Rockies,74,87,2021,"22,881",49.4,69.5,82.1,29.5,56.6,42.7,32.2,49.2,25.7,7.6,78.3
Seattle Mariners,90,72,2021,"24,050",49.3,67.2,81.1,26.7,53.9,42.5,29.2,46.7,26.8,7.5,76.1
Los Angeles Angels,77,85,2021,"23,027",49.1,67.2,82.1,29.6,59,42.4,30.2,48.1,25.2,7.8,76.2
Atlanta Braves,88,73,2021,"23,528",48.6,72.3,79.8,28.2,55.7,43,35.8,49.6,27.3,7.3,82.7
New York Yankees,92,70,2021,"24,804",48.5,65.8,79.9,24.5,55.2,42.1,26.5,44.6,27.1,7,74.7
Toronto Blue Jays,91,71,2021,"23,254",48.4,71.2,83.6,28.1,57,42.6,34.9,49,24.3,7.4,81.4
Minnesota Twins,73,89,2021,"23,514",48.5,68.4,81.3,26.7,55.7,42.2,30.8,46.9,26.2,7.2,79.4
Chicago White Sox,93,69,2021,"23,930",48.1,67.8,82.5,29.3,55.5,42.8,30.2,47.8,26.1,7.2,76.2
Philadelphia Phillies,82,80,2021,"23,823",49.6,68.5,80.7,27.6,59,42.1,32,47.9,25.6,7.5,78.4
Milwaukee Brewers,95,67,2021,"24,078",49.1,67,80.9,26.6,54,43.1,28.7,46.4,27,7.2,76.3
Athletics,86,76,2021,"23,968",49.8,68,81.7,26.3,56.7,42.3,28,47,25.3,7.7,77.7
Washington Nationals,65,97,2021,"23,472",49.1,67.1,83,25.8,57.2,41.7,30.1,46.1,24.4,7.6,76.3
San Diego Padres,79,83,2021,"23,760",49.4,66,83.4,25.1,56.9,42.1,29.5,45.3,24.1,7.6,76.9
Boston Red Sox,92,70,2021,"23,974",48.5,68.4,80.8,30.3,58.2,42.8,30.2,48.8,26.4,7.2,78.4
Arizona Diamondbacks,52,110,2021,"24,204",50.1,66.4,81.7,26.5,55,43.1,27.3,46.5,26,8,74.5
Cincinnati Reds,83,79,2021,"24,111",47.8,67.9,82.2,28.5,56.3,42.5,32.8,47.3,26,7.1,77.9
San Francisco Giants,107,55,2021,"24,617",49.7,68.3,81.3,24.2,56.3,42.7,30.3,46.1,25.4,7.5,79.9
Tampa Bay Rays,100,62,2021,"24,326",48.3,69.5,78.6,27,55.3,42.4,31.3,47.6,28.3,7.4,81.2
Los Angeles Dodgers,106,56,2021,"24,466",50,67.5,81.8,23.7,55.5,42.6,28.9,45.6,25,7.8,78
Houston Astros,95,67,2021,"24,556",49,65.9,85.6,25.7,62.4,42.1,30.7,45.4,21.1,7.4,76.7
